key,message,comment,context
Wkf tracking,Rastreamento Wkf,revisao,
Wkf trackings,Wkf trackings,revisao,
Wkf transition,Transição Wkf,revisao,
Workflow dashboard,Painel de controle de fluxo de trabalho,revisao,
Workflow is not saved,Fluxo de trabalho não é salvo,revisao,
Year,Ano,revisao,
contains,contém,revisao,
doesn't contains,não contém,revisao,
equal,igual,revisao,
greater or equal,maior ou igual,revisao,
greater than,Melhor que,revisao,
in,em,revisao,
include,incluir,revisao,
is false,é falso,revisao,
is not null,não é nulo,revisao,
is null,é nulo,revisao,
is true,é verdade,revisao,
less or equal,menor ou igual,revisao,
less than,menos que,revisao,
not equal,não igual,revisao,
not in,não em,revisao,
not include,não incluído,revisao,
value:BPM,valor: BPM,revisao,
value:Product App,valor: produto App,revisao,
xmlId,xmlId,revisao,
