key,message,comment,context
"Calls held by type by user","Chamadas realizadas por tipo por usuário",revisao,
"Calls type by team","Tipo de chamadas por equipe",revisao,
"Calls type by user","Tipo de chamadas por usuário",revisao,
Canceled,Cancelado,revisao,
Cases,Casos,revisao,
Category,Categoria,revisao,
Characteristics,Características,revisao,
Chart,Gráfico,revisao,
"Check duplicate","Verifique duplicado",revisao,
City,Cidade,revisao,
Civility,Civilidade,revisao,
"Closed Opportunities","Oportunidades fechadas",revisao,
"Closed lost","Fechado perdido",revisao,
"Closed won","Vencida fechada",revisao,
Code,Código,revisao,
Company,Empresa,revisao,
Configuration,Configuração,revisao,
"Confirm lost reason","Confirme a razão perdida",revisao,
Contact,Contato,revisao,
"Contact date","Data de contato",revisao,
"Contact details","Detalhes do contato",revisao,
"Contact name","Nome de contato",revisao,
Contacts,Contatos,revisao,
Convert,Converter,revisao,
"Convert into quotation","Converter em cotação",revisao,
"Convert lead","Converter lead",revisao,
"Convert lead (${ fullName })","Converter lead ($ {fullName})",revisao,
"Convert lead into contact","Converta o chumbo em contato",revisao,
"Convert lead into partner","Converter lead em parceiro",revisao,
Converted,Convertido,revisao,
Country,País,revisao,
"Create event","Criar Evento",revisao,
"Create new contact","Criar novo contato",revisao,
"Create new partner","Crie um novo parceiro",revisao,
"Create opportunity","Criar oportunidade",revisao,
"Create opportunity (${ fullName })","Criar oportunidade ($ {fullName})",revisao,
"Create order","Criar pedido",revisao,
"Create order (${ fullName })","Criar pedido ($ {fullName})",revisao,
"Created Nbr","Nbr criado",revisao,
"Created Nbr.","Criado Nbr.",revisao,
"Created Won","Criado ganhou",revisao,
"Created by","Criado por",revisao,
"Created leads by industry sector","Leads criados pelo setor da indústria",revisao,
"Created leads per month","Leads criados por mês",revisao,
"Created on","Criado em",revisao,
"Crm batch","Lote crm",revisao,
Currency,Moeda,revisao,
Customer,Cliente,revisao,
"Customer Description","Descrição do cliente",revisao,
"Customer fixed phone","Telefone fixo do cliente",revisao,
"Customer mobile phone","Telefone móvel do cliente",revisao,
"Customer name","Nome do cliente",revisao,
Customers,clientes,revisao,
Daily,Diariamente,revisao,
"Daily team call summary by user","Resumo de chamada de time diário pelo usuário",revisao,
Dashboard,"painel de controle",revisao,
"Date from","Data de",revisao,
"Date to","Data para",revisao,
"Day of month","Dia do mês",revisao,
"Day of week","Dia da semana",revisao,
Days,Dias,revisao,
"Delete all events","Excluir todos os eventos",revisao,
"Delete only this event","Excluir apenas este evento",revisao,
"Delete this and next events","Excluir este e os próximos eventos",revisao,
"Delivery Address","Endereço de entrega",revisao,
Dep./Div.,Dep./Div.,revisao,
Description,Descrição,revisao,
"Display customer description in opportunity","Exibir a descrição do cliente em oportunidade",revisao,
Duration,Duração,revisao,
"Duration type","Tipo de duração",revisao,
Email,"O email",revisao,
Emails,Emails,revisao,
End,,revisao,
"End date","Data final",revisao,
Enterprise,Empreendimento,revisao,
"Enterprise name","Nome da empresa",revisao,
"Error in lead conversion","Erro na conversão de leads",revisao,
"Estimated budget","Orçamento estimado",revisao,
Event,Evento,revisao,
"Event Categories","Categorias de Eventos",revisao,
"Event Dashboard 1","Painel de Eventos 1",revisao,
"Event Db","Evento Db",revisao,
"Event categories","Categorias de eventos",revisao,
"Event category","Categoria do evento",revisao,
"Event configuration categories","Categorias de configuração de eventos",revisao,
"Event filters","Filtros de eventos",revisao,
"Event reminder","Lembrete do evento",revisao,
"Event reminder %s","Lembrete de evento% s",revisao,
"Event reminder batch","Lote de lembrete de evento",revisao,
"Event reminder page","Página de lembrete de evento",revisao,
"Event reminders","Lembretes de eventos",revisao,
"Event's reminder's generation's reporting :","Relatório da geração do lembrete do evento:",revisao,
Events,Eventos,revisao,
"Every %d days","Cada% d dias",revisao,
"Every %d months the %d","Todo% d meses a% d",revisao,
"Every %d weeks","Cada% d semanas",revisao,
"Every %d years the %s","Cada% d anos a% s",revisao,
"Every day","todo dia",revisao,
"Every month","Todo mês",revisao,
"Every month the","Todo mês o",revisao,
"Every week","Toda semana",revisao,
"Every year","Todo ano",revisao,
"Every year the","Todos os anos o",revisao,
"Expected close date","Data esperada de fechamento",revisao,
Fax,,revisao,
Finished,Acabado,revisao,
"First name","Primeiro nome",revisao,
"Fixed Phone","Telefone fixo",revisao,
"Fixed phone","Telefone fixo",revisao,
"Follow up",Acompanhamento,revisao,
Follow-up,Acompanhamento,revisao,
"For all","Para todos",revisao,
"For me","Para mim",revisao,
"For me and internal guests","Para mim e convidados internos",revisao,
Fr,,revisao,
"Free text","Texto livre",revisao,
"From Date","Da data",revisao,
"From date must be less than the to date","De data deve ser menor que a data",revisao,
Function,Função,revisao,
"General contact details","Detalhes gerais de contato",revisao,
"Generate CRM configurations","Gere configurações de CRM",revisao,
"Generate Project","Gerar Projeto",revisao,
"Groups Assignable","Grupos atribuíveis",revisao,
Guests,Convidados,revisao,
High,Alto,revisao,
"Historical Period","Período Histórico",revisao,
"Historical events completed","Eventos históricos concluídos",revisao,
Hours,Horas,revisao,
"Import lead","Chumbo de importação",revisao,
"Import leads","Importar leads",revisao,
"In process","Em processo",revisao,
Incoming,Entrada,revisao,
"Industry Sector","Setor industrial",revisao,
"Industry sector","Setor industrial",revisao,
Information,"Em formação",revisao,
Informations,Informações,revisao,
"Input location please","Localização de entrada por favor",revisao,
"Invoicing Address","Endereço de cobrança",revisao,
"Job Title","Titulo do trabalho",revisao,
"Key accounts","Contas chave",revisao,
"Last name","Último nome",revisao,
Lead,Conduzir,revisao,
"Lead Assigned","Lead atribuído",revisao,
"Lead Converted","Chumbo Convertido",revisao,
"Lead Dashboard 1","Painel de chumbo 1",revisao,
"Lead Db","Chumbo Db",revisao,
"Lead Db 1","Chumbo Db 1",revisao,
"Lead converted","Chumbo convertido",revisao,
"Lead created","Chumbo criado",revisao,
"Lead filters","Filtros de chumbo",revisao,
Lead.address_information,Lead.address_information,revisao,
Lead.company,Lead.company,revisao,
Lead.email,Lead.email,revisao,
Lead.fax,Lead.fax,revisao,
Lead.header,Lead.header,revisao,
Lead.industry,Lead.industry,revisao,
Lead.lead_owner,Lead.lead_owner,revisao,
Lead.name,Lead.name,revisao,
Lead.other_address,Lead.other_address,revisao,
Lead.phone,Lead.phone,revisao,
Lead.primary_address,Lead.primary_address,revisao,
Lead.source,"Fonte de chumbo",revisao,
Lead.status,Lead.status,revisao,
Lead.title,Lead.title,revisao,
Leads,Conduz,revisao,
"Leads Source","Fonte de leads",revisao,
"Leads by Country","Leva por país",revisao,
"Leads by Salesman by Status","Leva pelo vendedor por status",revisao,
"Leads by Source","Leva pela fonte",revisao,
"Leads by Team by Status","Leads por equipe por status",revisao,
"Limit Date","Data Limite",revisao,
Lose,Perder,revisao,
"Loss confirmation","Confirmação de perda",revisao,
Lost,Perdido,revisao,
"Lost reason","Razão perdida",revisao,
"Lost reasons","Razões perdidas",revisao,
Low,,revisao,
MapRest.PinCharLead,MapRest.PinCharLead,revisao,
"MapRest.PinCharOpportunity","MapRest.PinCharOpportunity",revisao,
Marketing,Marketing,revisao,
Meeting,encontro,revisao,
"Meeting Nbr","Reunião Nbr",revisao,
"Meeting Nbr.","Reunião Nbr.",revisao,
"Meeting filters","Filtros de reunião",revisao,
"Meeting number historical","Número do encontro histórico",revisao,
"Meeting reminder template","Modelo de lembrete de reunião",revisao,
"Meeting's date changed template","Data da reunião mudou o modelo",revisao,
"Meeting's guest added template","Modelo adicionado ao convidado da reunião",revisao,
"Meeting's guest deleted template","Modelo excluído do convidado da reunião",revisao,
Meetings,Reuniões,revisao,
"Meetings number historical","Número histórico de reuniões",revisao,
"Meetings number target completed (%)","Meta do número de reuniões concluída (%)",revisao,
Memo,Memorando,revisao,
Minutes,Minutos,revisao,
Mo,,revisao,
"Mobile N°","Celular N °",revisao,
"Mobile phone",Celular,revisao,
Month,Mês,revisao,
Monthly,"Por mês",revisao,
Months,Meses,revisao,
"My Best Open Deals","Meus melhores negócios abertos",revisao,
"My CRM events","Meus eventos de CRM",revisao,
"My Calendar","Meu calendario",revisao,
"My Calls","Minhas Chamadas",revisao,
"My Closed Opportunities","Minhas oportunidades fechadas",revisao,
"My Current Leads","Meus leads atuais",revisao,
"My Key accounts","Minhas contas principais",revisao,
"My Leads","Meus leads",revisao,
"My Meetings","Minhas Reuniões",revisao,
"My Open Opportunities","Minhas Oportunidades Abertas",revisao,
"My Opportunities","Minhas Oportunidades",revisao,
"My Tasks","Minhas tarefas",revisao,
"My Team Best Open Deals","Minha equipe, melhores ofertas abertas",revisao,
"My Team Calls","Minhas Chamadas de Equipe",revisao,
"My Team Closed Opportunities","Minha equipe encerrou oportunidades",revisao,
"My Team Key accounts","Minha conta da equipe principal",revisao,
"My Team Leads","Minha equipe leva",revisao,
"My Team Meetings","Minhas Reuniões de Equipe",revisao,
"My Team Open Opportunities","Minha equipe abre oportunidades",revisao,
"My Team Tasks","Tarefas da minha equipe",revisao,
"My Today Calls","Minhas chamadas de hoje",revisao,
"My Today Tasks","Minhas Tarefas Hoje",revisao,
"My Upcoming Meetings","Minhas próximas reuniões",revisao,
"My Upcoming Tasks","Minhas próximas tarefas",revisao,
"My opportunities","Minhas oportunidades",revisao,
"My past events","Meus eventos passados",revisao,
"My team opportunities","Oportunidades da minha equipe",revisao,
"My upcoming events","Meus próximos eventos",revisao,
Name,Nome,revisao,
Negotiation,Negociação,revisao,
New,,revisao,
"Next stage","Próximo estágio",revisao,
"Next step","Próximo passo",revisao,
"No lead import configuration found","Nenhuma configuração de importação de leads foi encontrada",revisao,
"No template created in CRM configuration for company %s, emails have not been sent","Nenhum modelo criado na configuração do CRM para a empresa% s, os emails não foram enviados",revisao,
Non-participant,"Não participante",revisao,
None,Nenhum,revisao,
Normal,Normal,revisao,
"Not started","Não foi iniciado",revisao,
Objective,Objetivo,revisao,
"Objective %s is in contradiction with objective's configuration %s","Objetivo% s está em contradição com a configuração do objetivo% s",revisao,
Objectives,Objetivos,revisao,
"Objectives Configurations","Configurações de objetivos",revisao,
"Objectives Team Db","Objetivos Equipe Db",revisao,
"Objectives User Db","Objetivos Usuário Db",revisao,
"Objectives configurations","Configurações de objetivos",revisao,
"Objectives team Dashboard","Painel de equipe de objetivos",revisao,
"Objectives user Dashboard","Painel de usuários do Objectives",revisao,
"Objectives' generation's reporting :","Geração de relatórios de objetivos:",revisao,
"Office name","Nome do escritório",revisao,
"On going","Em progresso",revisao,
"Open Cases by Agents","Casos Abertos por Agentes",revisao,
"Open Opportunities","Oportunidades Abertas",revisao,
Opportunities,Oportunidades,revisao,
"Opportunities By Origin By Stage","Oportunidades por origem por estágio",revisao,
"Opportunities By Sale Stage","Oportunidades por fase de venda",revisao,
"Opportunities By Source","Oportunidades por fonte",revisao,
"Opportunities By Type","Oportunidades por tipo",revisao,
"Opportunities Db 1","Oportunidades Db 1",revisao,
"Opportunities Db 2","Oportunidades Db 2",revisao,
"Opportunities Db 3","Oportunidades Db 3",revisao,
"Opportunities Won By Lead Source","Oportunidades vencidas por fonte de leads",revisao,
"Opportunities Won By Partner","Oportunidades ganhas pelo parceiro",revisao,
"Opportunities Won By Salesman","Oportunidades ganhas por vendedor",revisao,
"Opportunities amount won historical","Valor das oportunidades ganhou histórico",revisao,
"Opportunities amount won target competed (%)","Oportunidades valor ganho alvo competido (%)",revisao,
"Opportunities amount won target completed (%)","Oportunidades valor alvo do won concluído (%)",revisao,
"Opportunities created number historical","Número histórico de oportunidades criadas",revisao,
"Opportunities created number target completed (%)","Oportunidades alvo número criado concluída (%)",revisao,
"Opportunities created won historical","Oportunidades criadas ganham histórico",revisao,
"Opportunities created won target completed (%)","Oportunidades criadas alvo de ganhos concluídas (%)",revisao,
"Opportunities filters","Filtros de oportunidades",revisao,
Opportunity,Oportunidade,revisao,
"Opportunity Type","Tipo de oportunidade",revisao,
"Opportunity created","Oportunidade criada",revisao,
"Opportunity lost","Oportunidade perdida",revisao,
"Opportunity type","Tipo de oportunidade",revisao,
"Opportunity types","Tipos de oportunidade",revisao,
"Opportunity won","Oportunidade conquistada",revisao,
"Optional participant","Participante opcional",revisao,
"Order by state","Ordenar por estado",revisao,
Organization,Organização,revisao,
Outgoing,Extrovertido,revisao,
"Parent event","Evento pai",revisao,
"Parent lead is missing.","O lead principal está ausente.",revisao,
Partner,Parceiro,revisao,
"Partner Details","Detalhes do parceiro",revisao,
Pending,Pendente,revisao,
"Period type","Tipo de período",revisao,
"Periodicity must be greater than 0","A periodicidade deve ser maior que 0",revisao,
Picture,Cenário,revisao,
Pipeline,Pipeline,revisao,
"Pipeline by Stage and Type","Pipeline por estágio e tipo",revisao,
"Pipeline next 90 days","Pipeline nos próximos 90 dias",revisao,
Planned,Planejado,revisao,
"Please configure all templates in CRM configuration for company %s","Por favor, configure todos os modelos na configuração do CRM para a empresa% s",revisao,
"Please configure informations for CRM for company %s","Por favor, configure informações para o CRM para a empresa% s",revisao,
"Please save the event before setting the recurrence","Por favor, salve o evento antes de definir a recorrência",revisao,
"Please select a path","Por favor, selecione um caminho",revisao,
"Please select the Lead(s) to print.","Por favor, selecione o (s) lead (s) para imprimir.",revisao,
"Postal code","Código postal",revisao,
Present,Presente,revisao,
"Previous stage","Etapa anterior",revisao,
"Previous step","Passo anterior",revisao,
"Primary address","Endereço primário",revisao,
Print,Impressão,revisao,
Priority,Prioridade,revisao,
"Probability (%)","Probabilidade (%)",revisao,
Proposition,Proposição,revisao,
Qualification,Qualificação,revisao,
Realized,Percebi,revisao,
"Recent lost deals","Ofertas perdidas recentes",revisao,
"Recently created opportunities","Oportunidades criadas recentemente",revisao,
Recurrence,Recorrência,revisao,
"Recurrence assistant","Assistente de Recorrência",revisao,
"Recurrence configuration","Configuração de recorrência",revisao,
"Recurrence name","Nome de recorrência",revisao,
Recurrent,Recorrente,revisao,
Recycle,Reciclar,revisao,
Recycled,Reciclado,revisao,
Reference,Referência,revisao,
References,Referências,revisao,
"Referred by","Referido por",revisao,
Region,Região,revisao,
"Rejection of calls","Rejeição de chamadas",revisao,
"Rejection of e-mails","Rejeição de e-mails",revisao,
"Related to","Relacionado a",revisao,
"Related to select","Relacionado a selecionar",revisao,
Reminded,Lembrado,revisao,
"Reminder Templates","Modelos de lembretes",revisao,
"Reminder(s) treated","Lembrete (s) tratados",revisao,
Reminders,Lembretes,revisao,
"Repeat every","Repita todos os",revisao,
"Repeat every:","Repetir todos:",revisao,
"Repeat the:","Repita o:",revisao,
"Repetitions number","Número de repetições",revisao,
Reported,Relatado,revisao,
Reportings,Reportings,revisao,
Reports,Relatórios,revisao,
"Required participant","Participante Requerido",revisao,
Sa,,revisao,
"Sale quotations/orders","Cotações / pedidos de venda",revisao,
"Sales Stage","Estágio de vendas",revisao,
"Sales orders amount won historical","Valor dos pedidos de vendas ganhos históricos",revisao,
"Sales orders amount won target completed (%)","Montante de pedidos de vendas alvo do won concluído (%)",revisao,
"Sales orders created number historical","Pedidos de vendas criados numéricos históricos",revisao,
"Sales orders created number target completed (%)","Pedidos de vendas criados meta de número concluída (%)",revisao,
"Sales orders created won historical","Ordens de vendas criadas ganham histórico",revisao,
"Sales orders created won target completed","Ordens de vendas criadas alvo de ganhos concluídas",revisao,
"Sales orders created won target completed (%)","Pedidos de vendas criados meta de ganhos concluídos (%)",revisao,
"Sales stage","Estágio de vendas",revisao,
Salesman,Vendedor,revisao,
"Schedule Event","Programar Evento",revisao,
"Schedule Event (${ fullName })","Programar Evento ($ {fullName})",revisao,
"Schedule Event(${ fullName})","Programar Evento ($ {fullName})",revisao,
"Select Contact","Selecione o contato",revisao,
"Select Partner","Selecione o parceiro",revisao,
"Select existing contact","Selecione o contato existente",revisao,
"Select existing partner","Selecione o parceiro existente",revisao,
"Send Email","Enviar email",revisao,
"Send email","Enviar email",revisao,
"Send mail","Enviar correio",revisao,
Settings,Definições,revisao,
"Show Partner","Mostrar parceiro",revisao,
"Show all events","Mostrar todos os eventos",revisao,
"Some user groups","Alguns grupos de usuários",revisao,
Source,Fonte,revisao,
"Source description","Descrição da fonte",revisao,
Start,Começar,revisao,
"Start date","Data de início",revisao,
State,Estado,revisao,
Status,Status,revisao,
"Status description","Descrição de status",revisao,
Su,,revisao,
"Take charge","Tomar conta",revisao,
Target,Alvo,revisao,
"Target User Dashboard","Painel de usuários-alvo",revisao,
"Target batch","Lote alvo",revisao,
"Target configuration","Configuração de alvo",revisao,
"Target configurations","Configurações de alvo",revisao,
"Target page","Página de destino",revisao,
"Target team Dashboard","Painel da equipe alvo",revisao,
"Target vs Real","Alvo vs Real",revisao,
"Targets configurations","Configurações de alvos",revisao,
Task,Tarefa,revisao,
"Task reminder template","Modelo de lembrete de tarefas",revisao,
Tasks,Tarefas,revisao,
"Tasks filters","Filtros de tarefas",revisao,
Team,Equipe,revisao,
Th,,revisao,
"The end date must be after the start date","A data final deve ser depois da data de início",revisao,
"The number of repetitions must be greater than 0","O número de repetições deve ser maior que 0",revisao,
Title,Título,revisao,
"To Date","Até a presente data",revisao,
Tools,Ferramentas,revisao,
"Trading name","Nome comercial",revisao,
"Treated objectives reporting","Relatório de objetivos tratados",revisao,
Tu,,revisao,
Type,Tipo,revisao,
"UID (Calendar)","UID (calendário)",revisao,
"Unassigned Leads","Leads não atribuídos",revisao,
"Unassigned Opportunities","Oportunidades não atribuídas",revisao,
"Unassigned opportunities","Oportunidades não atribuídas",revisao,
"Upcoming events","Próximos eventos",revisao,
Urgent,Urgente,revisao,
User,"Do utilizador",revisao,
"User %s must have an active company to use templates","O usuário% s deve ter uma empresa ativa para usar modelos",revisao,
Validate,Validar,revisao,
We,,revisao,
Website,"Local na rede Internet",revisao,
Weekly,Semanal,revisao,
Weeks,Semanas,revisao,
Win,,revisao,
"Worst case","Pior caso",revisao,
Years,Anos,revisao,
"You don't have the rights to delete this event","Você não tem o direito de excluir este evento",revisao,
"You must choose a recurrence type","Você deve escolher um tipo de recorrência",revisao,
"You must choose at least one day in the week","Você deve escolher pelo menos um dia na semana",revisao,
amount,montante,revisao,
"com.axelor.apps.crm.job.EventReminderJob","com.axelor.apps.crm.job.EventReminderJob",revisao,
"com.axelor.apps.crm.service.batch.CrmBatchService","com.axelor.apps.crm.service.batch.CrmBatchService",revisao,
crm.New,crm.New,revisao,
date,encontro,revisao,
"every week's day","todas as semanas",revisao,
everyday,"todo dia",revisao,
"fri,","Sex,",revisao,
http://www.url.com,http://www.url.com,revisao,
important,importante,revisao,
"mon,","seg,",revisao,
on,,revisao,
"portal.daily.team.calls.summary.by.user","portal.daily.team.calls.summary.by.user",revisao,
"sat,","Sentou,",revisao,
success,sucesso,revisao,
"sun,","Dom,",revisao,
"thur,",thur,revisao,
"tues,",terças,revisao,
"until the","até o",revisao,
value:CRM,"valor: CRM",revisao,
warning,Aviso,revisao,
"wed,","qua,",revisao,
whatever@example.com,whatever@example.com,revisao,
www.url.com,www.url.com,revisao,
